edad_categoria,nivel_educacion,rango_ingreso,tipo_donante,frecuencia_donacion,canal_donacion,participacion_eventos,voluntariado,años_como_donante,monto_ultima_donacion,confianza_financiera,confianza_mision,confianza_transparencia,confianza_liderazgo,satisfaccion_comunicacion,satisfaccion_impacto,satisfaccion_reconocimiento,satisfaccion_general,satisfaccion_transparencia,conexion_emocional,identificacion_mision,orgullo_donante,compromiso_futuro,percepcion_impacto,percepcion_eficacia,donara_proximo_año
26-35,Secundaria,<500k,Individual,Primera vez,Web,2-3 veces,No,0,241000,7,8,1,1,6,3,4,10,10,5,7,8,10,4,10,No
66+,Universitario,500k-1M,Individual,Mensual,Teletón anual,Nunca,Sí,1,46000,4,6,10,4,5,10,2,8,5,10,6,9,4,8,8,No
56-65,Universitario,500k-1M,Individual,Semestral,Presencial,2-3 veces,No,1,40000,8,10,1,7,9,6,8,10,9,10,10,10,4,6,5,Sí
66+,Postgrado,<500k,Individual,Trimestral,Teletón anual,Nunca,Sí,15,102000,7,9,9,2,5,10,7,10,3,10,10,10,6,5,7,Sí
56-65,Universitario,2M-4M,Individual,Anual,Teletón anual,Nunca,No,5,56000,6,9,10,10,5,10,6,4,4,10,7,4,7,8,5,No
46-55,Postgrado,1M-2M,Individual,Semestral,Web,1 vez,No,7,31000,5,10,5,2,8,7,9,3,5,4,10,5,3,6,3,Sí
56-65,Técnico,1M-2M,Fundación,Primera vez,Transferencia,Nunca,No,0,372000,5,3,5,10,9,3,6,5,5,10,6,10,1,7,9,Sí
18-25,Universitario,500k-1M,Individual,Trimestral,Web,Nunca,Sí,2,93000,9,5,8,10,6,5,4,6,10,7,10,10,9,9,8,No
26-35,Técnico,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,23000,6,1,10,10,7,9,2,1,1,7,7,9,10,4,4,No
18-25,Universitario,1M-2M,Individual,Trimestral,Web,1 vez,Sí,3,24000,8,4,2,5,9,8,5,2,10,10,9,9,1,7,10,No
36-45,Universitario,500k-1M,Fundación,Mensual,Teletón anual,1 vez,Sí,4,2230000,10,5,6,9,9,10,10,4,10,7,10,10,1,4,7,No
36-45,Universitario,<500k,Individual,Anual,Otro,Nunca,Sí,4,27000,8,4,1,4,6,4,8,10,9,8,10,5,9,10,7,No
26-35,Postgrado,500k-1M,Individual,Primera vez,Otro,Nunca,No,0,254000,5,9,4,10,4,7,6,7,4,8,7,7,1,4,6,No
56-65,Universitario,1M-2M,Individual,Semestral,Web,Nunca,No,13,1000,9,10,7,7,3,10,7,10,7,5,7,9,7,6,2,No
36-45,Técnico,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,80000,5,10,4,4,5,8,6,6,10,10,7,3,1,9,2,No
26-35,Técnico,<500k,Individual,Trimestral,Transferencia,Nunca,No,15,52000,7,10,5,1,9,1,9,6,7,4,6,8,10,7,6,No
36-45,Universitario,1M-2M,Individual,Primera vez,Teletón anual,1 vez,No,0,7000,3,8,2,1,4,10,5,7,10,10,7,9,1,4,10,No
26-35,Técnico,<500k,Individual,Primera vez,Web,Nunca,No,0,73000,8,4,5,1,7,1,7,4,10,9,5,5,10,8,7,No
56-65,Secundaria,500k-1M,Fundación,Mensual,Teletón anual,Nunca,No,2,491000,7,4,10,10,5,10,6,6,1,8,4,10,10,9,8,No
18-25,Técnico,<500k,Individual,Semestral,Otro,Nunca,No,3,88000,8,10,1,8,7,1,10,7,9,6,8,3,7,6,2,Sí
66+,Técnico,500k-1M,Individual,Trimestral,Teletón anual,Nunca,No,4,101000,6,8,5,8,8,10,8,8,10,5,10,7,5,6,10,Sí
56-65,Técnico,1M-2M,Individual,Anual,Web,2-3 veces,No,3,2000,8,10,7,10,6,2,9,8,7,6,9,4,9,6,9,Sí
26-35,Técnico,500k-1M,Individual,Semestral,Transferencia,Nunca,No,2,258000,6,10,10,10,7,10,6,9,4,7,7,4,9,7,7,No
18-25,Secundaria,<500k,Individual,Anual,Web,Nunca,No,6,21000,7,5,3,10,6,10,9,4,8,10,10,4,9,4,10,No
56-65,Secundaria,2M-4M,Individual,Anual,Teletón anual,Nunca,No,5,114000,9,3,6,3,8,4,6,6,8,10,6,7,3,7,10,No
46-55,Postgrado,2M-4M,Individual,Semestral,Otro,Nunca,No,8,122000,9,9,7,1,7,5,7,1,3,10,4,8,10,10,9,Sí
46-55,Técnico,2M-4M,Empresa,Anual,Web,Nunca,No,1,82000,7,10,6,10,7,10,10,10,10,7,4,6,10,6,8,No
56-65,Técnico,<500k,Empresa,Anual,Web,Nunca,No,4,132000,4,10,1,10,10,1,5,10,10,8,5,1,10,6,5,Sí
18-25,Universitario,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,17000,10,1,6,6,7,2,6,4,1,5,8,10,2,4,10,Sí
36-45,Técnico,4M+,Individual,Semestral,Web,Nunca,No,2,110000,10,2,10,1,6,10,8,2,3,6,6,8,8,8,4,No
26-35,Postgrado,1M-2M,Empresa,Primera vez,Web,Nunca,No,0,7000,8,1,7,10,6,1,7,4,4,2,7,4,7,9,10,No
56-65,Universitario,<500k,Individual,Semestral,Teletón anual,Nunca,No,2,31000,6,10,2,9,7,3,6,9,10,10,10,7,7,10,6,No
46-55,Secundaria,<500k,Empresa,Primera vez,Teletón anual,2-3 veces,No,0,1132000,6,9,3,6,6,10,10,1,6,8,5,7,7,4,4,No
36-45,Técnico,500k-1M,Individual,Semestral,Presencial,Nunca,No,1,4000,6,5,10,10,10,1,4,6,1,5,8,8,10,8,4,Sí
18-25,Universitario,2M-4M,Individual,Semestral,Teletón anual,Nunca,No,1,203000,10,7,10,7,8,9,10,9,7,9,8,8,10,10,3,Sí
36-45,Postgrado,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,20000,7,7,7,1,2,7,8,5,4,3,5,4,9,7,7,No
36-45,Universitario,500k-1M,Individual,Primera vez,Web,Nunca,No,0,18000,5,2,10,7,5,9,10,3,1,3,9,10,10,7,6,No
46-55,Universitario,<500k,Individual,Primera vez,Transferencia,1 vez,No,0,31000,5,10,3,10,2,10,3,10,9,4,6,5,10,5,4,No
46-55,Secundaria,1M-2M,Individual,Anual,Teletón anual,Nunca,No,6,69000,10,5,6,9,6,10,5,8,5,10,7,4,7,8,7,Sí
56-65,Postgrado,1M-2M,Individual,Trimestral,Web,1 vez,No,0,47000,10,10,4,7,3,9,10,9,4,5,10,10,6,10,3,No
36-45,Técnico,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,97000,9,1,8,10,4,10,2,5,10,1,7,10,6,7,7,No
26-35,Postgrado,1M-2M,Individual,Semestral,Teletón anual,Nunca,No,9,10000,9,3,10,3,4,8,4,6,5,10,9,10,6,5,8,Sí
46-55,Universitario,2M-4M,Fundación,Anual,Teletón anual,1 vez,Sí,3,433000,7,7,10,8,8,7,6,10,3,7,10,10,2,6,8,No
46-55,Universitario,<500k,Individual,Anual,Presencial,Nunca,No,4,21000,2,10,5,1,7,5,7,6,8,3,6,8,4,10,3,No
46-55,Universitario,500k-1M,Empresa,Mensual,Teletón anual,Nunca,No,17,10893000,9,6,8,5,8,1,10,2,8,5,10,4,10,8,7,No
56-65,Técnico,500k-1M,Individual,Anual,Teletón anual,Nunca,No,3,44000,7,7,10,10,7,4,7,6,8,8,7,10,9,8,7,No
36-45,Secundaria,1M-2M,Individual,Anual,Web,1 vez,No,11,488000,8,7,10,3,4,10,6,6,2,8,7,10,9,6,9,Sí
36-45,Técnico,500k-1M,Fundación,Primera vez,Presencial,Nunca,Sí,0,1153000,6,6,4,4,7,1,7,4,9,10,6,6,6,9,6,Sí
36-45,Técnico,1M-2M,Individual,Primera vez,Teletón anual,2-3 veces,No,0,44000,4,7,10,1,10,10,7,2,1,5,5,10,10,9,8,Sí
18-25,Universitario,1M-2M,Individual,Primera vez,Web,Nunca,No,0,184000,7,1,3,10,7,1,7,6,8,6,8,6,10,9,3,No
26-35,Técnico,500k-1M,Individual,Primera vez,Teletón anual,2-3 veces,Sí,0,52000,7,10,1,10,5,10,6,7,9,7,7,10,7,9,1,Sí
18-25,Secundaria,2M-4M,Individual,Semestral,Web,Nunca,No,8,28000,9,4,8,10,4,10,3,9,6,4,7,8,6,7,10,No
46-55,Postgrado,500k-1M,Individual,Anual,Web,1 vez,No,20,37000,10,10,10,1,5,9,5,10,7,9,9,10,2,6,6,Sí
36-45,Postgrado,<500k,Empresa,Anual,Web,Nunca,Sí,2,624000,8,5,5,8,8,2,10,3,10,10,7,10,4,7,4,No
36-45,Postgrado,1M-2M,Individual,Primera vez,Teletón anual,2-3 veces,No,0,41000,5,1,9,9,8,1,6,1,1,7,6,10,3,6,6,No
56-65,Postgrado,1M-2M,Individual,Anual,Teletón anual,Nunca,No,7,103000,7,10,10,3,8,2,6,9,1,8,8,7,7,10,7,Sí
26-35,Secundaria,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,4,260000,8,10,6,2,9,1,9,10,6,5,8,9,1,10,4,No
36-45,Técnico,2M-4M,Individual,Mensual,Teletón anual,Nunca,No,1,77000,7,3,9,9,8,1,5,6,10,5,8,6,10,8,5,No
46-55,Universitario,2M-4M,Individual,Primera vez,Teletón anual,Nunca,No,0,208000,8,1,10,10,7,1,6,3,1,7,6,9,4,4,7,No
26-35,Universitario,500k-1M,Individual,Trimestral,Transferencia,Nunca,Sí,6,16000,9,9,6,1,6,10,7,10,8,10,9,10,6,4,10,Sí
18-25,Secundaria,4M+,Individual,Anual,Otro,2-3 veces,No,7,30000,10,10,8,10,7,9,6,9,5,10,7,10,10,8,7,Sí
26-35,Universitario,<500k,Individual,Anual,Otro,4+,No,3,21000,10,1,10,8,5,10,7,7,1,10,6,8,1,9,3,Sí
26-35,Técnico,<500k,Individual,Anual,Presencial,Nunca,Sí,2,73000,7,6,10,7,7,9,7,8,5,10,5,10,4,7,4,No
56-65,Técnico,<500k,Individual,Primera vez,Web,2-3 veces,No,0,33000,1,10,9,10,7,3,3,10,9,6,8,6,6,10,4,No
56-65,Universitario,2M-4M,Individual,Primera vez,Transferencia,Nunca,No,0,120000,8,1,8,1,9,10,6,5,7,7,7,7,5,4,9,No
46-55,Universitario,1M-2M,Individual,Anual,Teletón anual,Nunca,No,2,16000,6,4,10,4,4,8,4,4,2,5,8,8,8,5,10,No
56-65,Universitario,<500k,Empresa,Anual,Web,1 vez,Sí,1,60000,6,7,8,7,8,7,7,7,10,9,9,9,10,6,9,Sí
56-65,Secundaria,500k-1M,Individual,Trimestral,Web,1 vez,Sí,6,53000,7,3,9,10,10,8,10,4,6,7,7,10,10,6,6,Sí
26-35,Universitario,1M-2M,Individual,Anual,Web,4+,No,1,114000,6,2,10,7,9,1,6,6,2,8,5,7,10,8,5,No
56-65,Técnico,<500k,Individual,Primera vez,Transferencia,Nunca,No,0,4000,7,8,10,4,8,10,4,6,8,10,7,6,6,5,10,No
36-45,Secundaria,2M-4M,Individual,Semestral,Teletón anual,1 vez,No,3,638000,5,2,6,9,8,8,7,5,6,9,8,6,2,4,6,Sí
56-65,Postgrado,1M-2M,Individual,Anual,Teletón anual,Nunca,Sí,2,36000,5,10,7,10,10,4,5,10,10,7,7,9,1,9,5,No
56-65,Postgrado,500k-1M,Individual,Anual,Otro,Nunca,No,4,4000,8,9,3,10,5,10,8,8,6,5,10,10,1,4,10,No
36-45,Universitario,2M-4M,Individual,Semestral,Teletón anual,Nunca,No,1,60000,8,1,8,10,4,10,7,7,10,7,3,9,9,5,10,No
26-35,Universitario,500k-1M,Individual,Trimestral,Web,4+,Sí,5,52000,9,2,9,6,7,9,10,4,6,8,10,10,6,4,9,Sí
26-35,Universitario,4M+,Individual,Trimestral,Presencial,1 vez,No,1,45000,6,10,8,8,3,10,9,10,10,9,9,3,8,8,7,Sí
36-45,Universitario,1M-2M,Individual,Semestral,Web,1 vez,No,0,164000,5,10,7,10,9,1,7,10,10,9,8,8,6,8,4,Sí
56-65,Secundaria,1M-2M,Individual,Semestral,Web,Nunca,No,1,123000,6,5,2,10,9,2,8,7,7,10,1,7,10,10,7,Sí
56-65,Técnico,<500k,Individual,Mensual,Teletón anual,Nunca,No,12,71000,8,10,2,10,6,9,6,10,10,10,10,6,4,9,10,Sí
18-25,Técnico,2M-4M,Fundación,Anual,Teletón anual,Nunca,No,9,1059000,10,10,8,10,6,8,7,7,2,9,6,10,9,10,10,Sí
36-45,Técnico,500k-1M,Empresa,Primera vez,Presencial,Nunca,Sí,0,191000,3,10,1,10,6,10,5,5,9,10,6,2,9,7,7,No
36-45,Universitario,<500k,Empresa,Primera vez,Web,Nunca,No,0,251000,6,3,10,8,6,7,8,5,1,6,6,9,5,4,7,No
26-35,Universitario,<500k,Empresa,Primera vez,Web,1 vez,No,0,109000,4,6,10,7,6,1,9,8,5,2,7,10,10,7,4,No
26-35,Secundaria,500k-1M,Empresa,Semestral,Teletón anual,Nunca,No,16,1817000,5,10,10,1,8,10,9,7,4,10,9,7,10,8,2,Sí
36-45,Técnico,500k-1M,Individual,Semestral,Teletón anual,Nunca,No,2,86000,9,5,6,6,7,10,9,9,8,9,9,8,6,9,8,Sí
66+,Universitario,1M-2M,Individual,Anual,Otro,Nunca,No,5,44000,8,8,1,8,9,10,9,5,10,6,9,9,10,6,10,Sí
36-45,Secundaria,2M-4M,Individual,Primera vez,Teletón anual,Nunca,No,0,421000,7,1,10,1,7,5,7,1,5,7,7,9,7,7,10,No
36-45,Universitario,<500k,Individual,Semestral,Web,Nunca,Sí,2,8000,9,1,10,10,6,10,5,6,5,10,8,7,7,6,10,No
46-55,Universitario,1M-2M,Individual,Anual,Teletón anual,2-3 veces,No,15,59000,7,8,10,1,10,10,10,5,7,10,6,8,8,5,10,Sí
36-45,Universitario,<500k,Individual,Semestral,Transferencia,Nunca,No,3,54000,7,3,6,10,4,10,10,7,10,4,6,8,6,5,10,No
66+,Universitario,2M-4M,Individual,Anual,Otro,1 vez,No,2,133000,10,5,6,10,7,1,7,7,7,7,9,5,8,7,1,Sí
66+,Universitario,1M-2M,Individual,Anual,Web,Nunca,Sí,1,18000,7,1,7,10,9,4,6,3,6,9,9,10,2,5,10,No
26-35,Técnico,500k-1M,Empresa,Primera vez,Teletón anual,Nunca,No,0,1686000,8,5,3,6,5,10,7,5,9,9,8,3,10,5,5,No
36-45,Universitario,1M-2M,Individual,Primera vez,Web,Nunca,No,0,6000,6,7,10,7,7,1,7,7,1,9,6,2,7,8,4,No
36-45,Universitario,500k-1M,Individual,Trimestral,Transferencia,2-3 veces,No,2,60000,4,10,3,7,8,7,7,6,8,10,9,6,1,5,8,No
26-35,Técnico,500k-1M,Individual,Trimestral,Web,1 vez,Sí,14,70000,4,10,6,10,5,10,4,8,10,8,5,9,4,6,8,Sí
18-25,Universitario,1M-2M,Individual,Semestral,Presencial,Nunca,No,0,299000,6,8,3,10,7,10,8,4,9,4,9,10,1,7,6,Sí
46-55,Universitario,500k-1M,Empresa,Primera vez,Web,Nunca,No,0,88000,8,9,1,6,6,10,7,9,7,10,6,6,4,7,6,Sí
36-45,Universitario,500k-1M,Individual,Anual,Presencial,Nunca,No,11,11000,9,1,10,10,6,10,8,5,1,4,10,10,8,6,6,Sí
18-25,Universitario,500k-1M,Empresa,Semestral,Web,Nunca,No,2,1484000,9,8,10,1,10,1,8,10,6,5,5,7,9,9,6,Sí
26-35,Universitario,1M-2M,Individual,Semestral,Teletón anual,2-3 veces,No,1,200000,5,4,10,10,5,10,6,4,8,7,10,10,10,8,2,No
56-65,Universitario,500k-1M,Individual,Primera vez,Teletón anual,Nunca,No,0,857000,9,2,1,9,8,6,8,2,10,6,6,10,8,8,5,Sí
26-35,Universitario,<500k,Individual,Primera vez,Teletón anual,Nunca,No,0,32000,4,4,10,6,5,9,6,9,2,10,6,6,6,6,3,Sí
26-35,Universitario,1M-2M,Individual,Semestral,Presencial,Nunca,Sí,0,11000,8,10,10,1,5,2,6,10,9,10,8,10,1,6,6,Sí
36-45,Universitario,1M-2M,Individual,Anual,Transferencia,Nunca,Sí,13,31000,8,7,6,10,7,3,7,10,8,10,6,10,4,6,9,Sí
66+,Universitario,<500k,Individual,Primera vez,Transferencia,Nunca,No,0,51000,6,8,4,7,7,1,3,8,7,6,6,3,8,7,1,No
26-35,Universitario,<500k,Individual,Primera vez,Teletón anual,Nunca,Sí,0,98000,9,1,8,8,8,1,6,7,1,10,5,9,1,6,5,No
46-55,Secundaria,<500k,Empresa,Anual,Teletón anual,1 vez,No,6,4939000,6,7,10,10,10,5,8,7,2,9,6,8,4,6,9,No
46-55,Postgrado,500k-1M,Individual,Trimestral,Transferencia,1 vez,No,2,25000,5,7,7,10,10,1,8,3,10,6,8,7,1,6,5,No
26-35,Universitario,500k-1M,Empresa,Mensual,Web,Nunca,No,2,8677000,7,7,2,10,8,10,10,6,10,6,6,6,4,6,10,No
46-55,Secundaria,1M-2M,Individual,Anual,Teletón anual,1 vez,No,7,323000,7,3,10,5,6,7,6,3,1,7,6,10,10,8,10,Sí
36-45,Universitario,1M-2M,Individual,Anual,Web,Nunca,No,15,13000,10,10,8,10,8,10,8,7,8,6,5,6,9,5,7,No
46-55,Secundaria,1M-2M,Individual,Primera vez,Teletón anual,Nunca,No,0,6000,7,1,8,8,5,1,8,3,8,9,6,10,2,7,4,No
46-55,Técnico,500k-1M,Individual,Anual,Teletón anual,Nunca,No,2,189000,7,4,6,10,9,2,10,6,8,1,10,10,8,9,8,No
36-45,Universitario,1M-2M,Individual,Anual,Web,Nunca,No,3,3000,5,10,10,3,4,10,7,10,1,7,6,4,10,6,5,No
18-25,Secundaria,500k-1M,Individual,Anual,Teletón anual,Nunca,No,2,39000,4,10,10,4,10,1,5,8,5,10,6,6,9,10,1,No
56-65,Universitario,4M+,Individual,Anual,Otro,Nunca,No,2,2107000,5,5,7,10,9,3,9,6,10,8,8,7,9,7,6,No
36-45,Universitario,1M-2M,Empresa,Primera vez,Teletón anual,Nunca,Sí,0,36770000,6,7,5,5,3,10,10,6,3,7,6,10,1,3,8,Sí
26-35,Universitario,<500k,Individual,Primera vez,Teletón anual,4+,No,0,49000,9,1,1,10,5,7,5,4,7,7,10,4,4,6,6,No
18-25,Secundaria,1M-2M,Empresa,Anual,Teletón anual,Nunca,No,3,129000,9,4,10,1,9,10,9,7,2,5,7,8,10,7,6,Sí
46-55,Técnico,500k-1M,Individual,Primera vez,Transferencia,Nunca,No,0,13000,7,1,7,7,8,6,8,6,1,5,7,6,10,7,10,No
46-55,Universitario,1M-2M,Individual,Primera vez,Web,Nunca,No,0,47000,6,10,1,1,3,10,8,6,10,8,8,7,10,6,2,Sí
18-25,Postgrado,<500k,Individual,Mensual,Web,Nunca,Sí,7,47000,8,7,7,3,8,10,7,2,7,10,9,7,10,5,5,No
36-45,Universitario,<500k,Individual,Anual,Teletón anual,Nunca,No,3,61000,6,1,10,6,3,10,6,4,10,5,8,5,10,5,10,No
26-35,Técnico,2M-4M,Individual,Anual,Teletón anual,1 vez,No,2,111000,10,10,8,1,7,8,7,10,10,10,7,6,10,6,5,Sí
46-55,Universitario,<500k,Individual,Trimestral,Web,Nunca,No,5,14000,7,10,10,3,9,4,8,10,4,7,10,7,10,6,5,No
26-35,Universitario,1M-2M,Individual,Mensual,Presencial,Nunca,No,2,379000,7,3,8,1,6,9,9,3,7,10,7,5,1,5,10,Sí
46-55,Universitario,500k-1M,Individual,Anual,Presencial,Nunca,Sí,1,67000,3,9,10,10,4,10,8,7,5,10,7,7,3,6,5,Sí
36-45,Secundaria,1M-2M,Empresa,Trimestral,Teletón anual,Nunca,No,6,34577000,7,10,8,10,7,10,6,10,10,10,6,10,6,9,6,Sí
66+,Universitario,1M-2M,Empresa,Anual,Web,Nunca,No,0,294000,9,7,4,10,6,6,8,8,10,10,4,6,1,10,4,No
26-35,Universitario,500k-1M,Individual,Anual,Presencial,Nunca,No,0,120000,5,3,10,10,8,10,9,6,8,7,9,4,6,9,5,No
36-45,Postgrado,500k-1M,Individual,Anual,Teletón anual,Nunca,No,0,24000,6,10,5,10,5,7,8,10,7,10,3,6,4,10,1,No
